4585,93,41
77847,29,63
40646,95,93
67170,75,57
16958,52,95
15005,60,98
28949,66,97
6987,93,41
7243,29,53
6987,95,50
99324,75,83
80802,52,31
4585,60,75
14780,66,62
69771,93,58
58941,29,96
40646,95,68
91364,75,50
529,52,34
3651,60,95
46549,66,53
28949,93,70
69771,29,57
77847,95,60
7952,75,100
16958,52,32
4032,60,66
54641,66,86
67170,93,38
89653,29,86
17993,95,93
84646,75,41
46549,52,62
99324,60,44
4429,66,51
58941,93,82
58941,29,58
60977,95,83
26198,75,65
67170,52,91
14780,60,45
89598,66,45
69771,93,70
70972,29,59
84646,95,44
60931,75,33
31345,52,99
63249,60,42
7952,66,44
60977,93,55
59865,29,45
15104,95,53
31018,75,48
63249,52,77
3651,60,43
89598,66,82
4585,93,55
14780,29,63
17993,95,67
55755,75,69
91364,52,81
99324,60,82
84646,66,58
46549,93,59
63249,29,75
58941,95,91
96372,75,37
529,52,89
7243,60,88
26344,66,80
71910,93,49
99324,29,58
15104,95,97
15104,75,64
17013,52,83
15104,60,48
77847,66,95
6152,93,32
7243,29,66
60931,95,98
4429,75,79
54641,52,30
71910,60,36
60931,66,69
69771,93,38
16958,29,64
55755,95,37
10963,75,75
67170,52,89
99997,60,61
84646,66,73
40646,93,67
69771,29,39
89598,95,31
28949,75,59
51080,52,66
15104,60,34
1934,66,40
69771,93,62
14595,29,97
